Question,Réponse,Sujet
Quelle est la capitale de la France,paris,Geographie
Combien de continents existe-t-il,7,Geographie
Quelle est la couleur du ciel par temps clair,bleu,Science
Quel est l'animal le plus rapide,guepard,Animaux
Quel est le plus grand océan du monde,pacifique,Geographie
Combien de mois dans une année,12,Temps
Combien de pattes a un chien,4,Animaux
Quel est le plus petit nombre entier,0,Mathematiques
Combien de jours dans une semaine,7,Temps
Quel est le principal gaz de l'atmosphère terrestre,azote,Science
Quelle est la capitale de l'Espagne,madrid,Geographie
Quelle est la monnaie utilisée en France,euro,Economy
Quel est le plus grand désert du monde,sahara,Geographie
Quel est le fruit qui est jaune et courbé,banane,Alimentation
Quelle est la langue officielle du Japon,japonais,Langues
Quel est l'instrument de musique à cordes pincées,guitare,Musique
Quelle est la couleur du soleil,jaune,Science
Quelle est la distance approximative entre la Terre et la Lune,384400km,Astronomie
Combien de continents la Russie traverse-t-elle,3,Geographie
Quelle est la plus haute montagne du monde,everest,Geographie
Quel est l'élément chimique avec le symbole H,hydrogene,Chimie
Quel est l'animal symbolisant l'Australie,kangourou,Animaux
Quelle est la planète la plus proche du Soleil,mercure,Astronomie
Combien de couleurs y a-t-il dans un arc-en-ciel,7,Science
Quelle est la monnaie du Royaume-Uni,livresterling,Economy
Quelle est la capitale du Canada,ottawa,Geographie
Quel est le gaz qui rend les ballons gonflés,helium,Science
Quel est l'animal marin avec des tentacules,pieuvre,Animaux
Quelle est la capitale des États-Unis,washingtondc,Geographie
Quel est l'organe responsable de la respiration,poumons,Biologie
Quel est le métal liquide à température ambiante,mercure,Chimie
Quel est le symbole chimique de l'eau,h2o,Chimie
Quel est le sport le plus populaire au monde,football,Sport
Quel est le plus grand animal terrestre,elephant,Animaux
Combien de touches y a-t-il sur un piano standard,88,Musique
Quel est l'élément chimique avec le symbole O,oxygene,Chimie
Quel est le plus long fleuve du monde,nil,Geographie
Quel est l'animal symbole du courage,lion,Animaux
Combien de saisons a une année,4,Temps
Combien de chromosomes possède un être humain,46,Biologie
Quelle est la capitale de l'Italie,rome,Geographie
Quel est le métal précieux utilisé dans les bijoux,or,Economy
Quel est le plus grand pays d'Amérique du Sud,bresil,Geographie
Quel est l'animal qui peut voler,oiseau,Animaux
Quel est le plus petit pays du monde,vatican,Geographie
Quelle est la langue officielle du Brésil,portugais,Langues
Quel est l'instrument de musique à vent,flute,Musique
Quel est le plus grand lac d'Afrique,victoria,Geographie
Quel est l'organe du corps humain qui pompe le sang,coeur,Biologie
Quel est l'animal le plus lourd,baleine,Animaux
Combien de couleurs sont sur un drapeau français,3,Geographie
Quel est l'aliment de base au Japon,riz,Alimentation
Quel est le plus grand animal marin,baleine,Animaux
Quel est le gaz que nous expirons,co2,Science
Quel est le sport qui utilise une raquette,tennis,Sport
Quel est le plus grand oiseau du monde,autruche,Animaux
Quel est le plus haut bâtiment du monde,burjkhalifa,Architecture
Quel est le seul métal liquide à température ambiante,mercure,Chimie
Quel est l'élément chimique avec le symbole Fe,fer,Chimie
Quel est le plus grand insecte du monde,scarabe,Animaux
Quel est l'instrument de musique qui ressemble à un tambour,batterie,Musique
Quel est le plus grand volcan actif,hawai,Geographie
Quel est le plus petit os du corps humain,stapes,Biologie